country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Nigeria,"Onah I.I., Ezinwa C.",12-Jul,Cleft Surgery Service at National Orthopaedic Hospital Enugu: impact of free treatment programme,Other: retrospective analysis,11/2004 - 10/2008,"patient records (""Information was from theatre records, medical records department and theatre facilities."")",National Orthopaedic Hospital Enugu (a major accredited training centre in Nigeria for plastic surgical residents),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""Information was from theatre records, medical records department and theatre facilities.""",5 plastic surgeons,"""There were five consultant plastic surgeons in the employment of the hospital throughout the duration of the study.""",NA,NA,NA,NA,"7 senior residents;
9 trainee surgeons","""There were a total of seven senior residents training in  plastic surgery between 2004 and 2006..."";
""There were nine trainee surgeons between 2006 and 2008.""",NA,NA,241 cleft surgeries,NA,NA,NA,NA,NA
Sudan,"Omer R. F.,  EL Din N.S., Rahim F.A.A., et al.",16-Aug,Hand Mycetoma: The Mycetoma Research Centre Experience and Literature Review,"Other: descriptive, retrospective, chart-review based case series",1991 - 2015,medical records (electronic patients’ records),"Mycetoma Research Centre (MRC), University of Khartoum, Khartoum, Sudan","""The majority of the affected population were from the Sudan mycetoma belt.""",NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,"""The electronic patients’ records of 533 patients with confirmed hand mycetoma.""",NA,"""Surgery was performed in rural health centres, under local anaesthesia by inexperienced health assistants and in a poor surgical setting.""",NA,NA,NA,NA,NA,NA,NA,NA,533 patients,NA,NA,NA,NA,NA
Nigeria,"Olusanya A.A., Adeleye A.O., Aladelusi T.O., et al.",14-Aug,Updates on the epidemiology and pattern of traumatic maxillofacial injuries in a Nigerian University Teaching Hospital: A 12-month prospective cohort in-hospital outcome study,Other: Prospective cohort observational study,01/2010 - 12/2010,"Clinical records, patient interviews","University College Hospital, Ibadan, Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259 patients,NA,NA,NA,NA,NA
Nigeria,"Olasoji H.O., Hassan A., Adeyemo W.L.",11-Mar,Survey of management of children with cleft lip and palate in teaching and specialist hospitals in Nigeria,Other: National survey using questionnaires,Survey conducted prior to 2010 (exact dates not specified),Responses from 38 cleft surgeons,Teaching and specialist hospitals across six regions of Nigeria,"6 regions of Nigeria (South-West, South-East, South-South, North-West, North-East, North-Central)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""A preliminary registry of cleft care providers in Nigerian teaching and specialist hospitals was compiled from a number of sources, including the Nigeria cleft association list, local workshop attendance lists, and individuals identified by
a literature search""","Plastic surgeons 38.6%
Maxillofacial surgeons 30%
Peadiatric surgeons9%
ENT surgeons 6.8%
General surgeon 16%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38 respondents (cleft surgeons),"1 in 2703 live births (from Iregbulem, 1982)",NA,NA,NA,NA
Nigeria,"Olaitan P.B., Uduezue A.O., Ugwueze G.C., et al.",7-Mar,"Management of human bites of the face in Enugu, Nigeria",Other: Retrospective review,01/1994 – 12/2003,"Case notes, operation registers, emergency unit records","National Orthopaedic Hospital, Enugu, Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""A retrospective study of patients with human
bites of the face who presented between January 1994 and December 2003 was carried out using operation registers, case notes and attendant registers at the Accident and Emergency unit of our hospital.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA
Nigeria,"Oladele A.O., Olabanji J.K., Awe O.O.",11-Dec,"Adolescent and adult cleft lip and palate, in Ile-Ife, Nigeria",Other: retrospective review,05/2006 -  04/2010,"secondary data collection from medical records (""...demographic data as well as clinical information were retrieved from the hospital records...""",Teaching hospital (Irrua specialist teaching hospital),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137 patients (""Adults and adolescents above 13 years of age were 33 (24.1%).""; ""We performed 37 procedures in the 33 patients."")",NA,NA,NA,NA,NA
Nigeria,"Okoro P.E., Igwe P.O., Ukachukwu A.K.",9-Jun,Childhood burns in south eastern Nigeria,Other: prospective study,06/2006 - 12/2007,Data entered in proforma,Paediatric Surgery Units of the Federal Medical Centre and Imo State University Teaching Hospital (tertiary health facilities),3 million people,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53 patients,NA,NA,NA,NA,NA
Nigeria,"Oketade I., Bello S.A., Adeoye J.",10/2020,The Tale of the Unrepaired Cleft-Retrospective Evaluation of Cases Encountered by an Indigenous Mission in a Northern Nigerian Community,Other: retrospective review,2011 & 2017,medical records,Cleft and Facial Deformity Foundation (CFDF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117 participants,"""The prevalence of patients with unrepaired cleft in our sample encountered in the outreach programs was 61.5%""",NA,NA,NA,NA
Nigeria,"Ogunleye E.O., Olusoji O.O., Kanu O.O., et al.",22-Oct,"Vascular injuries: Aetiology, presentation and management outcomes at a tertiary hospital in Lagos, Nigeria",Other: Retrospective study,01/2015 - 12/2021,"Medical records, theatre registers","Accident and Emergency Department, Lagos University Teaching Hospital, Nigeria",NA,NA,NA,NA,NA,NA,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74 patients,NA,NA,NA,NA,NA
Nigeria,"Oginni F.O., Oladejo T., Alake D.P., et al.",15-Aug,"Facial Bone Fractures in Ile-Ife, Nigeria: An Update on Pattern of Presentation and Care",Other: retrospective review of records,01/2005 - 12/2013,medical records,University teaching hospital (Obafemi Awolowo in Ile-Ife),NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,medical record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311 (2005-2013); 451 (1996-2004); 442 (1982-1995); 231 (1976-1981),NA,NA,NA,NA,NA
Nigeria,"Ogbogu C.J., Uduezue A., Anetekhai W.I., et al",17-Nov,"Burn injuries in pregnancy in a regional burns center in Nigeria: Presentation, maternal and fetal outcome",Other: retrospective study of records,01/2009 - 12/2014,"medical records (admission registers, the patients’ folders from the medical records department, consultations and sonography reports)",National Orthopaedic Hospital,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,yes,"""...admission registers, the patients’ folders from the medical records department, consultations and sonography reports.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 pregnant females,NA,NA,NA,NA,NA
Kenya,"Odondi R.N., Shitsinzi R., Emarah  A.",20-Mar,"Clinical patterns and early outcomes of burn injuries in patients admitted at the Moi Teaching and Referral Hospital in Eldoret, Western Kenya",Cross sectional study,01/2016 - 06/2017,"primary data collection (""...interviewer-administered structured questionnaire and chart reviews were used to collect data on sociodemographic variables, burn clinical characteristics and early burn outcomes."")",Moi Teaching and Referral Hospital (MTRH) burns ward and the surgical wards that admit patients with burn injuries,"16.2 million (""It has a catchment area of about 16.2 million and a bed capacity of about 1000."")",1000,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Kenya National Disease Surveillance and Response System (NDSRS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182 patients,NA,NA,NA,NA,NA
Tanzania,"Obayemi J.E., Card E.B., Shirima O., et al.",2022,Hospitalized for poverty: orthopaedic discharge delays due to financial hardship in a tertiary hospital in Northern Tanzania,Other: mixed-methods case study using retrospective medical record review and semi-structured interviews,11/2016 - 06/2017,medical records (daily nursing status notes from the Ward Round Book and patient records); semi-structured interviews,"Kilimanjaro Christian Medical Center (KCMC), a tertiary hospital in Moshi, Tanzania",Northern Tanzania (not specified),NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Paper-based system (prone to clerical errors and missing files),NA,NA,NA,NA,NA,"""Discharge protocol was standardized and followed by all nurses under the direction of the head nurse.""",6 (social welfare officers),"""A team of 6 individuals who travel around the hospital to identify patients in need of financial assistance.""",NA,NA,72 medical D-Still records,NA,NA,NA,"""The range of payments made for this post-discharge period was 0 TSH—1,960,000 TSH ($846.94 USD)."";

""The 72 D-Still patients spent an average of 9 (median of 4 days, interquartile range 2–10.5 days) extra days as an inpatient after meeting medical criteria for discharge  (Table  4). This equated to an average of 112,958 TSH (equivalent to $48.81 USD as per foreign exchange rate on May 26, 2020) additional cost, which represented on average 12.3% of the complete hospital bill.""

Total hospital bill
mean = 916,840 TSH;
minimum = 174,600 TSH;
maximum = 9,688,750 TSH;
standard deviation = 1,156,080 TSH

Total payment for Post-discharge period 
mean = 2,958 TSH;
minimum = 0***;
maximum = 1,960,000 TSH;
standard deviation = 254,442 TSH;
***Patients who paid 0 TSH for this period were those that absconded from the ward without making any payments","""Over 250 patients receive assistance in a typical year, with the office spending 14,000,000TSH or more per month to assist patients."""
Cameroon,"Nwanna‑Nzewunwa O., Ngamby M.K., Feldhaus I., et al.",19-Apr,"Epidemiology and cost of pediatric injury in Yaoundé, Cameroon: a prospective study",Other: prospective study,04/2009 - 10/2009,"trauma registry (Data were recorded using a paper trauma registry form 
and subsequently entered into Microsoft Excel)",Emergency department (ED) of Central Hospital of Yaoundé (CHY) [teaching and referral hospital],"""The facility serves 1.5–2 million people in Cameroon.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543 patients,NA,NA,NA,NA,NA
Kenya,"Nthumba P., Cavadas P.C., Landin L.",11-Jul,The tropical diabetic hand syndrome: a surgical perspective,Other: prospective descriptive case series,10/2009 - 09/2010; 04/2011,primary data collection,"Plastic, Reconstructive and Hand Surgery Unit, AIC Kijabe Hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 diabetic patients,NA,NA,"“50% of the patients developed considerable disability; 3 of these patients had disabilities of the arm, shoulder, and hand (DASH) scores of 90 at 6 months after treatment.”","$400 - $6433

""...TDHS patients spent an average of about 35 USD a day..."";
""The patients were hospitalized for an average of 55.5 days (6-255), and paid an average 1934 USD for their care""",NA
Rwanda,"Ntakiyiruta G., Wong E.G., Rousseau M.C., et al.",16-Feb,Trauma care and referral patterns in Rwanda: implications for trauma system development,Other: Retrospective review of prospectively collected operative data,06/2011 - 12/2001,CHUK operating room case logs,"Centre Hospitalier Universitaire de Kigali (CHUK), Kigali, Rwanda",Serves >6.2 million people in Rwanda,513 beds,14,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Case logs,"5 general, 3 orthopedic, 1 neurosurgeon, 1 urologist, 3 ENT, 1 maxillofacial, 2 ophthalmologists, 5 OB/GYN","At the 
time of the study, the CHUK employed 5 general sur
geons, 3 orthopedic surgeons, 1 neurosurgeon, 1 urologist, 
3 otorhinolaryngologists, 1 oromaxillofacial surgeon, 
2 ophthalmologists and 5 obstetricians and gynecologists.",NA,NA,NA,NA,NA,NA,NA,NA,653 trauma surgeries (581 with geographic data),NA,NA,NA,NA,NA
Nigeria,"Nnabugwu I.I., Onumaegbu O.O., Okolie L.T.",21-Apr,Fournier’s gangrene: a retrospective review of management outcomes and seasonal variations of clinical presentation,Other: retrospective review,02/2012 - 12/2019,medical records (hospital records of a tertiary health institution),referral hospital in Nigeria (tertiary health institution),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,“Hospital records of a tertiary health institution in south-eastern Nigeria were reviewed retrospectively from February 2012 through December 2019”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23 patients,NA,NA,NA,NA,NA
Kenya,"Njeru E.K., Mutiso V.M., Saidi H., et al.",8-Dec,Firearm injuries at selected hospitals in Kenya,Other: retrospective exploratory survey,1997 – 2002,medical records (case notes in the records departments of two major health facilities in Nairobi),Kenyatta National Hospital; Forces Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenyatta National Hospital (KNH)

Forces Memorial Hospital",852 hospital admissions due to gun-shot injuries,NA,NA,NA,NA,NA
Ghana,"nii-Amon-Kotei D., Baffoe-Bonnie B.",Mar-90,"CONGENITAL-MALFORMATIONS IN KUMASI, GHANA - PROGNOSIS FOR SURGICAL CASES",Other: retrospective study,1985 - 1988,medical records,Komfo Anokye Teaching Hospital,NA,12,NA,NA,NA,no (until recently),NA,NA,NA,NA,NA,NA,Yes,medical reocrds,2; 4,"""For this relatively large service area, there are only two pediatric surgeons available; in the whole of Ghana with 12 million inhabitants, here are presently only four pediatric surgeons.""",NA,NA,NA,NA,NA,NA,NA,NA,161 patients,NA,NA,NA,NA,NA
Rwanda,"Nezerwa Y., Miranda E., Velin L., et al.",22-May,Referral of Burn Patients in the Absence of Guidelines: A Rwandan Study,Other: Retrospective observational study,01/2005 - 12/2019,CHUK burn unit logbooks (2005–2019),"University Teaching Hospital of Kigali (CHUK), Rwanda",NA,10 beds,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""This retrospective study included all patients with acute burns admitted to the CHUK burn unit with data available on the province of origin from 2005 to 2019.""","1 consultant plastic surgeon, 1 plastic surgery resident, 1 general surgery resident","""The burn unit has 10 beds and is staffed by burn surgeons (one consultant plastic surgeon, one resident in plastic surgery,
and one rotating general surgery resident) and seven dedicated burn nurses.""",NA,NA,7 dedicated burn nurses,“Burn unit has 7 dedicated nurses”,NA,NA,NA,NA,"1,093 burn patients; 1,064 with referral data",NA,NA,NA,NA,NA
Zambia,"Nath S., Jovic G.",Sep-97,"Cancrum oris: Management, incidence, and implications of human immunodeficiency virus in Zambia",Cohort study,1979 - 1993,no specific mention (assumption: medical records),"The University Teaching Hospital (Lusaka, Zambia)",NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""55 patients received reconstructive surgery by one of the authors (Nath)""",NA,"""Specialist anesthetists were not readily available. Most of the cases were anesthetized by clinical officers (paramedics) who were specially trained in pediatric anesthesia abroad.""",NA,NA,NA,NA,NA,United Kingdom (London),81 patients,NA,NA,NA,NA,NA
Burkina Faso,"Nagalo K., Ouédraogo I., Laberge J., et al.",17-Mar,Congenital malformations and medical conditions associated with orofacial clefts in children in Burkina Faso,Other: retrospective descriptive study,2007; 2010; 2014,Clinical and anaesthetic records,"El Fateh-Suka Clinic in Ouagadougou, Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""The clinical and anaesthetic records, as well as patient computer database served as data sources in this study.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185 patients,1.4 malformations per patient,NA,NA,NA,NA
Zimbabwe,"Mzezewa S., Jonsson K., Åberg M., et al.",Jan-00,A prospective study of suicidal burns admitted to the Harare burns unit,Other: prospective study,09/1995 - 04/1998,primary data collection,Harare burns unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47 patients,NA,NA,NA,NA,NA
Zimbabwe,"Mzezewa S., Jonsson K., Aberg M., et al.",Mar-99,A Prospective study on the epidemiology of burns in patients admitted to the Harare burn units,Other: prospective observational study,04/1993 - 05/1996,primary data collection,two burn units in Harare,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"""We now have permanent burn nurses and a plastic surgeon has been added to the surgical team.""",NA,NA,unclear,"""We now have permanent burn nurses and a plastic surgeon has been added to the surgical team.""",NA,NA,NA,NA,451 patients,NA,NA,NA,NA,NA
